home_name,competition_name,gameId,hta,away_id,htf,away_logo,league,home_id,home_score,result,date,away_score,home_logo,away_name,ground
Pakistan,A53W,222845,-,105,-,,222797,122,7,won,22 Jun 2014,25,,India,Lahore
Uzbekistan,A5C3,262863,-,105,-,,262829,84916,8,won,27 May 2015,31,,India,Tashkent
Uzbekistan,A5C3,262865,-,105,-,,262829,84916,32,lost,30 May 2015,12,,India,Tashkent
Niger,African CAR Championship,229313,-,103,-,,220517,128,61,lost,18 Jun 2014,10,,Swaziland,Gaberone
Mauritius,African CAR Championship,229319,-,103,-,,220517,132,134,lost,21 Jun 2014,0,,Swaziland,Gaberone
Curacao,NACRA Rugby,225389,-,102,-,,225385,173647,56,lost,10 May 2014,7,,St Lucia,Blue Bay
Brunei,Asian 5 Nations - Divisio,222843,-,126,-,,222795,106,20,lost,21 Jun 2014,25,,Cambodia,Bandar Seri Begawan
Lesotho,African CAR Championship,264161,-,103,-,,264129,264121,13,lost,4 Jul 2015,10,,Swaziland,Maseru
Niger,African CAR Championship,264157,-,111,-,,264129,128,50,lost,30 May 2015,15,,Togo,Ouagadougou
Ghana,African CAR Championship,264145,-,128,-,,264129,116,10,lost,24 May 2015,28,,Niger,Ouagadougou
Burkina Faso,African CAR Championship,264141,31,115,0,,264129,120,67,lost,24 May 2015,3,,Benin,Ouagadougou
Mali,African CAR Championship,264143,-,111,-,,264129,117,31,lost,24 May 2015,12,,Togo,Ouagadougou
Burkina Faso,African CAR Championship,264151,8,111,7,,264129,120,20,lost,27 May 2015,7,,Togo,Ouagadougou
Benin,African CAR Championship,264149,-,128,-,,264129,115,5,lost,27 May 2015,82,,Niger,Ouagadougou
Ghana,African CAR Championship,264147,-,117,-,,264129,116,7,lost,27 May 2015,24,,Mali,Ouagadougou
Brunei,Asian 5 Nations - Divisio,222835,-,98077,-,,222795,106,13,lost,17 Jun 2014,38,,Mongolia,Bandar Seri Begawan
Benin,African CAR Championship,264159,-,117,-,,264129,115,5,lost,30 May 2015,60,,Mali,Ouagadougou
DR Congo,African CAR Championship,267301,-,114,-,,264129,142721,29,lost,30 Jun 2015,3,,Rwanda,Kinshasa
Rwanda,African CAR Championship,229295,-,142721,-,,229291,114,5,lost,7 Jun 2014,9,,DR Congo,Kigali
Pakistan,A53W,222839,-,113561,-,,222797,122,3,lost,19 Jun 2014,17,,Lebanon,Lahore
Cambodia,Asian 5 Nations - Divisio,222841,-,98077,-,,222795,126,5,lost,19 Jun 2014,49,,Mongolia,Bandar Seri Begawan
Rwanda,African CAR Championship,229293,-,113,-,,229291,114,15,won,3 Jun 2014,6,,Burundi,Kigali
Niger,African CAR Championship,229321,-,5,-,http://assets.espn.go.com/i/teamlogos/countries/500/rsa.png,220517,128,10,lost,21 Jun 2014,86,,South Africa,Gaberone
Burkina Faso,African CAR Championship,264155,-,116,-,,264129,120,12,lost,30 May 2015,0,,Ghana,Ouagadougou
Panama,South American Championship,242921,24,177675,0,,242909,124,19,lost,8 Oct 2014,24,,Guatemala,Panama
Costa Rica,South American Championship,242927,0,177675,19,,242909,123,22,won,11 Oct 2014,17,,Guatemala,Panama
Costa Rica,South American Championship,242923,17,177674,7,,242909,123,14,lost,8 Oct 2014,25,,El Salvador,Panama
Panama,South American Championship,242919,5,123,5,,242909,124,10,won,5 Oct 2014,18,,Costa Rica,Panama
Mauritius,African CAR Championship,229307,-,5,-,http://assets.espn.go.com/i/teamlogos/countries/500/rsa.png,220517,132,17,lost,15 Jun 2014,61,,South Africa,Gaberone
Panama,South American Championship,242925,19,177674,0,,242909,124,3,lost,11 Oct 2014,29,,El Salvador,Panama
Curacao,NACRA Rugby,258695,0,129,19,,258685,173647,24,draw,7 Mar 2015,24,,St Vincent and Grenadines,Blue Bay
St Vincent and Grenadines,NACRA Rugby,225409,-,173647,-,,225385,129,12,lost,8 Jun 2014,19,,Curacao,Kingstown
Indonesia,A5E3,262869,3,130,10,,265845,138,6,won,7 Jun 2015,17,,Guam,Jakarta
Montenegro,FIRA Championship D3,262127,19,134,0,,262109,262051,31,lost,14 Apr 2015,3,,Slovakia,Podgorica
Presidents XV,FIRA Championship D3,262123,0,134,38,,262109,164,0,won,11 Apr 2015,82,,Slovakia,Podgorica
Laos,A53E,222827,-,130,-,,222793,124783,10,won,29 May 2014,48,,Guam,Vientiane
Laos,A53E,222831,-,138,-,,222793,124783,10,won,31 May 2014,11,,Indonesia,Vientiane
